Source: IEA World Energy Balances 2020 https://www.iea.org/subscribe-to-data-services/world-energy-balances-and-statistics,,,,,,,,,
Documentation: https://iea.blob.core.windows.net/assets/4f314df4-8c60-4e48-9f36-bfea3d2b7fd5/WorldBAL_2020_Documentation.pdf,,,,,,,,,
This data is subject to the IEA's terms and conditions: https://www.iea.org/terms,,,,,,,,,
,,,,,,,,,
,Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Fishing,Units,,
1990,4969,87,1525,1409,125,140,ktoe,,
1995,8002,138,2434,3175,290,161,ktoe,,
2000,12931,175,3190,5872,456,239,ktoe,,
2005,,224,,,,,ktoe,,
2010,,188,,,,,ktoe,,
2015,,191,,,,,ktoe,,
,,,,,,,,conversion,
,,Transport,Units,,,,,1,toe
1990,,3.64E-03,EJ,,,,,4.19E-08,EJ
1995,,5.78E-03,EJ,,,,,,
2000,,7.33E-03,EJ,,,,,,
2005,,9.38E-03,EJ,,,,,,
2010,,7.87E-03,EJ,,,,,,
2015,,8.00E-03,EJ,,,,,,
